----------------------------------------
1,Mestni log - Vižmarje,1,Vižmarje - Mestni log
604031,Mestni log,804051,Vižmarje
603141,Tbilisijska,804041,Šentvid
603041,Koprska,804031,Podgora
603031,Krimska,804021,Prušnikova
603021,Gerbičeva,804011,Trata
603011,Jadranska,803041,Dravlje
602031,Hajdrihova,803031,Kompas
602041,Tobačna,803021,Avtomontaža
602051,Aškerčeva,803011,Slovenija avto
602021,Drama,802021,Kino Šiška
601011,Pošta,802011,Stara cerkev
700012,Hotel Lev,801011,Tivoli
801012,Tivoli,700011,Kolizej
802012,Stara cerkev,600022,Ajdovščina
802022,Kino Šiška,601012,Konzorcij
803014,Remiza,602022,Drama
803022,Avtomontaža,602052,Aškerčeva
803032,Kompas,602042,Tobačna
803042,Dravlje,602032,Hajdrihova
804012,Trata,603012,Jadranska
804022,Prušnikova,603022,Gerbičeva
804032,Podgora,603032,Krimska
804042,Šentvid,603044,Koprska
804051,Vižmarje,603142,Tbilisijska
,,604031,Mestni log
----------------------------------------
N1,Bavarski dvor - Brod,N1,Brod - Bavarski dvor
600012,Bavarski dvor (Kozolec),804121,Brod
700012,Hotel Lev,804131,Martinova
801012,Tivoli,804101,Tabor
802012,Stara cerkev,804091,Na klancu
802022,Kino Šiška,804081,Kosmačeva
803014,Remiza,804051,Vižmarje
803022,Avtomontaža,804041,Šentvid
803032,Kompas,804031,Podgora
803042,Dravlje,804021,Prušnikova
804012,Trata,804011,Trata
804022,Prušnikova,803041,Dravlje
804032,Podgora,803031,Kompas
804042,Šentvid,803021,Avtomontaža
804051,Vižmarje,803011,Slovenija avto
804082,Kosmačeva,802021,Kino Šiška
804092,Na klancu,802011,Stara cerkev
804102,Tabor,801011,Tivoli
804112,Ob daljnovodu,600012,Bavarski dvor (Kozolec)
804121,Brod,,
----------------------------------------
1S,Gameljne - Mestni log,1S,Mestni log - Gameljne
104221,Gameljne,604031,Mestni log
104211,Rašica,603141,Tbilisijska
104201,Zg. Gameljne,603041,Koprska
104191,Šmartno,603031,Krimska
804151,Tacen,603021,Gerbičeva
804141,Tacenski most,603011,Jadranska
804111,Ob daljnovodu,602031,Hajdrihova
804101,Tabor,602041,Tobačna
804091,Na klancu,602051,Aškerčeva
804081,Kosmačeva,602021,Drama
804051,Vižmarje,601011,Pošta
804041,Šentvid,700012,Hotel Lev
804031,Podgora,801012,Tivoli
804021,Prušnikova,802012,Stara cerkev
804011,Trata,802022,Kino Šiška
803041,Dravlje,803014,Remiza
803031,Kompas,803022,Avtomontaža
803021,Avtomontaža,803032,Kompas
803011,Slovenija avto,803042,Dravlje
802021,Kino Šiška,804012,Trata
802011,Stara cerkev,804022,Prušnikova
801011,Tivoli,804032,Podgora
700011,Kolizej,804042,Šentvid
600022,Ajdovščina,804051,Vižmarje
601012,Konzorcij,804082,Kosmačeva
602022,Drama,804092,Na klancu
602052,Aškerčeva,804102,Tabor
602042,Tobačna,804112,Ob daljnovodu
602032,Hajdrihova,804142,Tacenski most
603012,Jadranska,804152,Tacen
603022,Gerbičeva,104192,Šmartno
603032,Krimska,104202,Zg. Gameljne
603044,Koprska,104212,Rašica
603142,Tbilisijska,104221,Gameljne
604031,Mestni log,,
----------------------------------------
