# Vir: http://www.lpp.si/sites/default/files/lpp_si/stran/datoteke/spisek_postajalisc_po_abecedi_marec_2011;".pdf"
# Regex: ([0-9]+)\n([0-9]+)\n([\w+\.\ ščžŠČŽ\(\)]+)
# → - Smer vožnje proti centru
# Stara številka;Nova številka;Ime postajališča
344;702012;"Pod Rožnikom"
345;702011;"Pod Rožnikom →"
5;804032;"Podgora"
4;804031;"Podgora →"
620;415022;"Podlipoglav"
621;415021;"Podlipoglav →"
355;102052;"Podmilščakova"
354;102051;"Podmilščakova →"
332;703052;"Podmornica"
333;703051;"Podmornica →"
572;745052;"Podpeč"
573;745051;"Podpeč →"
113;804221;"Podutik →"
361;103062;"Pohorskega bataljona"
360;103061;"Pohorskega bataljona →"
47;203012;"Pokopališka"
46;203011;"Pokopališka →"
478;104122;"Polanškova"
477;104121;"Polanškova →"
248;402022;"Poliklinika"
249;402021;"Poliklinika →"
66;502012;"Poljanska"
65;502011;"Poljanska →"
280;304072;"Polje"
303;304073;"Polje"
266;304071;"Polje →"
267;304074;"Polje →"
268;304081;"Polje"‐kolodvor →
269;304082;"Polje"‐kolodvor →
27;601011;"Pošta →"
317;404042;"Pošta Dobrunje"
316;404041;"Pošta Dobrunje →"
274;303052;"Pot na Fužine"
256;303051;"Pot na Fužine →"
238;603072;"Pot na Rakovo jelšo"
239;603071;"Pot na Rakovo jelšo →"
482;104142;"Pot v Hrastovec"
481;104141;"Pot v Hrastovec →"
480;104132;"Pot v Smrečje"
479;104131;"Pot v Smrečje →"
260;304012;"Preglov trg"
259;304011;"Preglov trg →"
201;202022;"Prekmurska"
200;202021;"Prekmurska →"
330;703062;"Preval"
331;703061;"Preval →"
634;415072;"Pri Dogonivar"
635;415071;"Pri Dogonivar →"
622;415092;"Pri Dolencu"
623;415091;"Pri Dolencu →"
525;704081;"Pri Poku →"
630;415082;"Primožev ovinek"
631;415081;"Primožev ovinek →"
476;104113;"Primožičeva"
99;602112;"Privoz"
98;602111;"Privoz →"
7;804022;"Prušnikova"
6;804021;"Prušnikova →"
183;804181;"Pržan →"
602;406042;"Pržganje Š."
601;406041;"Pržganje Š. →"
600;406032;"Pržganje Š. K."
599;406031;"Pržganje Š. K. →"
423;103042;"Puhova"
422;103041;"Puhova →"
540;704072;"Radna"
103;503022;"Rakovnik"
102;503021;"Rakovnik →"
309;403062;"Rast"
308;403061;"Rast →"
391;104212;"Rašica"
390;104211;"Rašica →"
173;100022;"Razstavišče"
172;100021;"Razstavišče →"
452;204162;"Reaktor"
451;204161;"Reaktor →"
17;803014;"Remiza"
212;204032;"Rog"
211;204031;"Rog →"
150;104112;"Rogovilc"
149;104111;"Rogovilc →"
465;502022;"Roška"
500;502021;"Roška →"
80;203021;"Rožičeva"
79;203022;"Rožičeva →"
340;703012;"Rožna dolina"
341;703011;"Rožna dolina →"
127;500011;"RTV →"
112;504031;"Rudnik →"
676;504024;"Rudnik I"
675;504035;"Rudnik I →"
262;304032;"Rusjanov trg"
261;304031;"Rusjanov trg →"
158;103132;"Ruski car"
157;103131;"Ruski car →"
564;614062;"Rutar"
565;614061;"Rutar →"
618;415012;"Sadinja vas"
619;415011;"Sadinja vas →"
460;102011;"Samova"
461;102012;"Samova →"
291;204201;"Saturnus →"
154;104052;"Sava"
544;104054;"Sava"
153;104051;"Sava →"
370;104011;"Savlje →"
203;202032;"Savske stolpnice"
202;202031;"Savske stolpnice →"
51;202042;"Savsko naselje"
50;202041;"Savsko naselje →"
628;415042;"Selo pri Pancah K."
629;415041;"Selo pri Pancah K. →"
286;304132;"Silos"
285;304131;"Silos →"
93;803012;"Slovenija avto"
16;803011;"Slovenija avto →"
431;204112;"Slovenijales"
430;204111;"Slovenijales →"
163;103072;"Smelt"
162;103071;"Smelt →"
604;406052;"Smrekarjevo"
603;406051;"Smrekarjevo →"
298;204072;"Sneberje"
297;204071;"Sneberje →"
570;614092;"Snoj"
571;614091;"Snoj →"
204;202071;"soča"
637;404092;"Sostro"
326;404091;"Sostro →"
638;404093;"Sostro →"
456;803172;"Spar"
455;803171;"Spar →"
111;504022;"Spodnji Rudnik"
110;504021;"Spodnji Rudnik →"
294;202044;"Središka"
293;202043;"Središka →"
169;102042;"Stadion"
168;102041;"Stadion →"
174;703072;"Stan in dom"
175;703071;"Stan in dom →"
373;804062;"Stanežiče"
372;804061;"Stanežiče →"
21;802012;"Stara cerkev"
20;802011;"Stara cerkev →"
160;103102;"Stožice"
159;103101;"Stožice →"
101;503012;"Strelišče"
100;503011;"Strelišče →"
499;502032;"Streliška"
498;502031;"Streliška →"
265;304062;"Studenec"
264;304061;"Studenec →"
596;406012;"Šemnikar"
595;406011;"Šemnikar →"
450;204152;"Šentjakob"
449;204151;"Šentjakob →"
3;804042;"Šentvid"
2;804041;"Šentvid →"
126;803016;"Šišenska"
667;515013;"Škofljica →"
662;504102;"Škofljica Petkovšek"
663;504101;"Škofljica Petkovšek →"
666;515011;"Škofljica špica →"
664;504112;"Škofljica žaga"
665;504111;"Škofljica žaga →"
437;104072;"Šlandrova"
436;104071;"Šlandrova →"
388;104192;"Šmartno"
387;104191;"Šmartno →"
82;203042;"Šola Jarše"
462;203044;"Šola Jarše"
81;203041;"Šola Jarše →"
543;744012;"Šolska"
542;744011;"Šolska →"
144;403042;"Štepanja vas"
143;403043;"Štepanja vas →"
307;403041;"Štepanja vas →"
147;303041;"Štepanjsko naselje →"
252;303043;"Štepanjsko naselje →"
342;702022;"Študentsko naselje"
343;702021;"Študentsko naselje →"
221;804102;"Tabor"
220;804101;"Tabor →"
386;804152;"Tacen"
385;804151;"Tacen →"
384;804142;"Tacenski most"
383;804141;"Tacenski most →"
684;604052;"Tbilisijska"
683;604051;"Tbilisijska →"
229;803072;"Tehnounion"
228;803071;"Tehnounion →"
403;802062;"Tiki"
402;802061;"Tiki →"
690;103182;"Titova"
691;103181;"Titova →"
23;801012;"Tivoli"
22;801011;"Tivoli →"
519;701011;"Tivolska"
518;701012;"Tivolska →"
32;602042;"Tobačna"
33;602041;"Tobačna →"
405;203081;"Tomačevo →"
409;203032;"Tomačevska"
408;203031;"Tomačevska →"
399;103012;"Toplarna"
398;103011;"Toplarna →"
411;102022;"Topniška"
410;102021;"Topniška →"
397;103051;"Tovarna Lek →"
75;203062;"Tovorni kolodvor →"
76;203061;"Tovorni kolodvor →"
9;804012;"Trata"
8;804011;"Trata →"
598;406022;"Trebeljevo"
597;406021;"Trebeljevo →"
235;602121;"Trnovo →"
191;803102;"Tržnica Koseze"
190;803101;"Tržnica Koseze →"
72;303012;"Tržnica Moste"
71;303011;"Tržnica Moste →"
609;406081;"Tuji Grm →"
128;500012;"Turist"
626;415032;"Veliki Lipoglav"
627;415031;"Veliki Lipoglav →"
236;603082;"Veliki štradon"
237;603081;"Veliki štradon →"
304;304101;"Vevče →"
53;202012;"Viadukt"
52;202011;"Viadukt →"
178;703092;"Vič"
179;703091;"Vič →"
334;703042;"Viško polje"
335;703041;"Viško polje →"
1;804051;"Vižmarje →"
357;102072;"Vodovodna"
356;102071;"Vodovodna →"
606;406062;"Volavlje"
605;406061;"Volavlje →"
521;700022;"Vošnjakova"
522;700021;"Vošnjakova"
327;704031;"Vrhovci →"
394;203192;"Yulon"
393;203191;"Yulon →"
301;204082;"Zadobrova"
272;204081;"Zadobrova →"
302;204083;"Zadobrova →"
288;204182;"Zadružni dom"
287;204181;"Zadružni dom →"
321;404062;"Zadvor"
320;404061;"Zadvor →"
292;204211;"Zalog →"
255;303024;"Zaloška"
73;303021;"Zaloška →"
442;104172;"Zasavska"
441;104171;"Zasavska →"
45;202051;"Zelena jama →"
290;204192;"Zeleni gaj"
289;204191;"Zeleni gaj →"
592;405072;"Zg. Besnica"
591;405071;"Zg. Besnica →"
389;104202;"Zg. Gameljne"
490;104201;"Zg. Gameljne →"
678;704142;"Zgonji log"
677;704141;"Zgonji log →"
193;803092;"Zgornja Šiška"
192;803091;"Zgornja Šiška →"
562;614052;"Zidarjevec"
563;614051;"Zidarjevec →"
242;602092;"Ziherlova"
243;602091;"Ziherlova →"
520;602093;"Ziherlova →"
494;501022;"Zmajski most"
495;501021;"Zmajski most →"
49;202062;"Žale"
48;202061;"Žale →"
486;201011;"Železna →"
88;203152;"Žito"
87;203151;"Žito →"
516;703122;"Živalski vrt"
491;703131;"Živalski vrt →"
515;703121;"Živalski vrt →"
